 * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
10.27.19.15 - - [28/Apr/2015 22:33:10] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:33:10] "GET /static/style.css HTTP/1.1" 304 -
10.27.19.15 - - [28/Apr/2015 22:34:13] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:34:13] "GET /static/style.css HTTP/1.1" 304 -
10.27.19.15 - - [28/Apr/2015 22:34:15] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:34:16] "GET /static/style.css HTTP/1.1" 304 -
10.27.19.15 - - [28/Apr/2015 22:34:17] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:34:17] "GET /static/style.css HTTP/1.1" 304 -
10.27.19.15 - - [28/Apr/2015 22:34:19] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:34:19] "GET /static/style.css HTTP/1.1" 304 -
10.27.19.15 - - [28/Apr/2015 22:34:20] "GET / HTTP/1.1" 200 -
10.27.19.15 - - [28/Apr/2015 22:34:21] "GET /static/style.css HTTP/1.1" 304 -
